2019-01-05T07:30:00-08:00,1546702200,1546702211,73
2019-01-05T08:00:01-08:00,1546704001,1546704016,53
2019-01-05T08:30:00-08:00,1546705801,1546705809,100
2019-01-05T09:00:01-08:00,1546707601,1546707612,73
2019-01-05T09:30:01-08:00,1546709401,1546709429,29
2019-01-05T10:00:01-08:00,1546711201,1546711220,42
2019-01-05T10:30:00-08:00,1546713001,1546713018,47
2019-01-05T11:00:00-08:00,1546714801,1546714811,80
2019-01-05T11:30:00-08:00,1546716601,1546716607,133
2019-01-05T12:00:01-08:00,1546718402,1546718423,38
2019-01-05T12:30:01-08:00,1546720202,1546720208,133
2019-01-05T14:30:01-08:00,1546727402,1546727410,100
2019-01-05T15:00:01-08:00,1546729201,1546729211,80
2019-01-05T15:30:01-08:00,1546731001,1546731008,114
2019-01-05T16:00:00-08:00,1546732800,1546732809,89
2019-01-05T16:30:00-08:00,1546734601,1546734608,114
2019-01-05T17:00:01-08:00,1546736401,1546736411,80
2019-01-05T17:30:00-08:00,1546738201,1546738213,67
2019-01-05T18:00:01-08:00,1546740001,1546740008,114
2019-01-05T18:30:01-08:00,1546741801,1546741809,100
2019-01-05T19:00:00-08:00,1546743600,1546743607,114
2019-01-05T19:30:01-08:00,1546745402,1546745411,89
2019-01-05T20:00:00-08:00,1546747201,1546747210,89
2019-01-05T20:30:01-08:00,1546749001,1546749009,100
2019-01-05T21:00:00-08:00,1546750801,1546750810,89
2019-01-05T21:30:01-08:00,1546752601,1546752608,114
2019-01-05T22:00:00-08:00,1546754401,1546754409,100
2019-01-05T22:30:01-08:00,1546756201,1546756209,100
2019-01-05T23:00:00-08:00,1546758001,1546758008,114
2019-01-05T23:30:01-08:00,1546759801,1546759809,100
2019-01-06T00:00:00-08:00,1546761601,1546761607,133
2019-01-06T00:30:01-08:00,1546763401,1546763409,100
2019-01-06T01:00:00-08:00,1546765201,1546765207,133
2019-01-06T01:30:01-08:00,1546767001,1546767011,80
2019-01-06T02:00:00-08:00,1546768801,1546768807,133
2019-01-06T02:30:00-08:00,1546770601,1546770610,89
2019-01-06T03:00:01-08:00,1546772401,1546772408,114
2019-01-06T03:30:01-08:00,1546774201,1546774211,80
2019-01-06T04:00:01-08:00,1546776001,1546776009,100
2019-01-06T04:30:01-08:00,1546777801,1546777816,53
2019-01-06T05:00:00-08:00,1546779600,1546779611,73
2019-01-06T05:30:01-08:00,1546781401,1546781408,114
